Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Activation,Firefox 61.0,\u0410\u043A\u0442\u0438\u0432\u0430\u0446\u0438\u044F \u0443\u0447\u0435\u0442\u043A\u0438,2018-08-09 16:45:28,2018-08-09 16:46:29,"1m - 0,813s",FAILED
,,,,,,
Test Cases/Base/Activation,Firefox 61.0,Активация нового пользователя,2018-08-09 16:45:29,2018-08-09 16:46:29,"1m - 0,121s",FAILED
callTestCase,Firefox 61.0,Авторизация администратором,2018-08-09 16:45:29,2018-08-09 16:45:40,"10,976s",PASSED
click,Firefox 61.0,Переход на вкладку администрирования,2018-08-09 16:45:40,2018-08-09 16:45:45,"5,233s",PASSED
click,Firefox 61.0,"Разворачивание списка пользователей для активации
",2018-08-09 16:45:45,2018-08-09 16:45:57,"11,264s",PASSED
setText,Firefox 61.0,В поле поиска пользователей вводится логин пользователя,2018-08-09 16:45:57,2018-08-09 16:45:57,"0,186s",PASSED
sendKeys,Firefox 61.0,"Выбор пользователя для активации. Клик ""Enter""",2018-08-09 16:45:57,2018-08-09 16:45:57,"0,036s",PASSED
click,Firefox 61.0,Фокусировка в поле редактирвоания рабочих групп,2018-08-09 16:45:57,2018-08-09 16:45:57,"0,262s",PASSED
click,Firefox 61.0,Включение пользователя в рабочую группу,2018-08-09 16:45:57,2018-08-09 16:45:57,"0,238s",PASSED
click,Firefox 61.0,Активация пользователя,2018-08-09 16:45:57,2018-08-09 16:45:58,"0,244s",PASSED
verifyElementPresent,Firefox 61.0,"Проверка успешной активации
",2018-08-09 16:45:58,2018-08-09 16:46:29,"31,337s",FAILED
