Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Activation_gmail,Firefox 61.0,\u0410\u043A\u0442\u0438\u0432\u0430\u0446\u0438\u044F \u0443\u0447\u0435\u0442\u043A\u0438 \u0432 gmail \u043F\u043E\u0447\u0442\u0435,2018-08-09 14:46:47,2018-08-09 14:46:58,"11,114s",PASSED
,,,,,,
Test Cases/Base/Activation_gmail,Firefox 61.0,Активация учетки в gmail письме,2018-08-09 14:46:47,2018-08-09 14:46:58,"10,164s",PASSED
openBrowser,Firefox 61.0,,2018-08-09 14:46:48,2018-08-09 14:46:52,"4,432s",PASSED
setText,Firefox 61.0,,2018-08-09 14:46:52,2018-08-09 14:46:52,"0,261s",PASSED
click,Firefox 61.0,,2018-08-09 14:46:52,2018-08-09 14:46:53,"0,314s",PASSED
setText,Firefox 61.0,,2018-08-09 14:46:53,2018-08-09 14:46:53,"0,143s",PASSED
delay,Firefox 61.0,,2018-08-09 14:46:53,2018-08-09 14:46:54,"1,016s",PASSED
sendKeys,Firefox 61.0,,2018-08-09 14:46:54,2018-08-09 14:46:54,"0,064s",PASSED
click,Firefox 61.0,,2018-08-09 14:46:54,2018-08-09 14:46:57,"2,946s",PASSED
click,Firefox 61.0,,2018-08-09 14:46:57,2018-08-09 14:46:58,"0,726s",PASSED
