Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create budget,Firefox 61.0,\u0420\u0435\u0433\u0438\u0441\u0442\u0440\u0430\u0446\u0438\u044F \u0431\u044E\u0434\u0436\u0435\u0442\u0430,2018-08-28 13:48:09,2018-08-28 13:48:55,"45,761s",PASSED
,,,,,,
Test Cases/Base/Create budget,Firefox 61.0,Регистрация бюджета,2018-08-28 13:48:09,2018-08-28 13:48:55,"45,268s",PASSED
callTestCase,Firefox 61.0,Авторизация,2018-08-28 13:48:10,2018-08-28 13:48:25,"14,816s",PASSED
click,Firefox 61.0,"Перейти в меню ""Планирование""",2018-08-28 13:48:25,2018-08-28 13:48:27,"2,397s",PASSED
click,Firefox 61.0,"Нажать на кнопку ""Сформировать бюджет""",2018-08-28 13:48:27,2018-08-28 13:48:27,"0,267s",PASSED
"Statement - new_budgetYear = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(menu_planning/page_year/radio_budgetYear), ""value"", ""equals"", BudgetYear, true)",Firefox 61.0,Изменить год бюджета,2018-08-28 13:48:27,2018-08-28 13:48:27,"0,010s",PASSED
check,Firefox 61.0,Выбрать бюджет,2018-08-28 13:48:27,2018-08-28 13:48:28,"1,052s",PASSED
click,Firefox 61.0,Нажать кнопку подтверждения формирования бюджета,2018-08-28 13:48:28,2018-08-28 13:48:29,"0,282s",PASSED
waitForElementPresent,Firefox 61.0,Проверка доступности кнопки выбора источника финансирования,2018-08-28 13:48:29,2018-08-28 13:48:31,"2,695s",PASSED
click,Firefox 61.0,Раскрыть справочник выбора источника финансирования,2018-08-28 13:48:31,2018-08-28 13:48:32,"0,315s",PASSED
setText,Firefox 61.0,Найти источник финансирования в справочнике,2018-08-28 13:48:32,2018-08-28 13:48:32,"0,585s",PASSED
click,Firefox 61.0,Установить чек на первом найденном значении,2018-08-28 13:48:32,2018-08-28 13:48:33,"0,277s",PASSED
click,Firefox 61.0,Выбрать источник финансирования и закрыть справочник,2018-08-28 13:48:33,2018-08-28 13:48:33,"0,281s",PASSED
click,Firefox 61.0,Раскрыть справочник выбора КБК,2018-08-28 13:48:33,2018-08-28 13:48:33,"0,291s",PASSED
setText,Firefox 61.0,Ввести искомое значение КБК,2018-08-28 13:48:33,2018-08-28 13:48:40,"6,706s",PASSED
click,Firefox 61.0,"Нажать на кнопку ""Найти""",2018-08-28 13:48:40,2018-08-28 13:48:40,"0,235s",PASSED
waitForElementPresent,Firefox 61.0,Проверка наличия чекбокса выбора КБК,2018-08-28 13:48:40,2018-08-28 13:48:44,"3,871s",PASSED
click,Firefox 61.0,Установить чек на первом найденном значении,2018-08-28 13:48:44,2018-08-28 13:48:44,"0,390s",PASSED
click,Firefox 61.0,Выбрать КБК и закрыть справочник,2018-08-28 13:48:44,2018-08-28 13:48:45,"0,332s",PASSED
waitForElementNotPresent,Firefox 61.0,Ожидание: модальный контрол,2018-08-28 13:48:45,2018-08-28 13:48:45,"0,555s",PASSED
waitForElementPresent,Firefox 61.0,Ожидание: модального контрола,2018-08-28 13:48:45,2018-08-28 13:48:45,"0,011s",PASSED
setText,Firefox 61.0,Ввести сумму лимита,2018-08-28 13:48:45,2018-08-28 13:48:45,"0,090s",PASSED
waitForElementPresent,Firefox 61.0,Ожидание перехода маски в определенный статус,2018-08-28 13:48:45,2018-08-28 13:48:45,"0,013s",PASSED
waitForElementNotPresent,Firefox 61.0,"Ожидание недоступности маски, перекрывающей ""Сохранить""",2018-08-28 13:48:45,2018-08-28 13:48:45,"0,011s",PASSED
click,Firefox 61.0,"Нажать кнопку ""Сохранить"" бюджет",2018-08-28 13:48:45,2018-08-28 13:48:46,"0,384s",PASSED
waitForElementPresent,Firefox 61.0,Проверка успешного завершения регистрации бюджета,2018-08-28 13:48:46,2018-08-28 13:48:53,"6,898s",PASSED
