Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create position purchase plan,Firefox 61.0,\u0420\u0435\u0433\u0438\u0441\u0442\u0440\u0430\u0446\u0438\u044F \u043F\u043E\u0437\u0438\u0446\u0438\u0438 \u043F\u043B\u0430\u043D\u0430 \u0437\u0430\u043A\u0443\u043F\u043E\u043A,2018-08-28 13:49:44,2018-08-28 13:52:29,"2m - 45,026s",FAILED
,,,,,,
Test Cases/Base/Purchase plan/Create position purchase plan,Firefox 61.0,Создать позицию плана закупок,2018-08-28 13:49:44,2018-08-28 13:52:28,"2m - 44,414s",FAILED
callTestCase,Firefox 61.0,Авторизация исполнителем заказчика,2018-08-28 13:49:45,2018-08-28 13:50:00,"15,062s",PASSED
callTestCase,Firefox 61.0,Открыть план закупок по определенному году,2018-08-28 13:50:00,2018-08-28 13:50:07,"7,866s",PASSED
click,Firefox 61.0,"Нажать на кнопку ""Создать позицию ПЗ""",2018-08-28 13:50:07,2018-08-28 13:50:11,"3,226s",PASSED
click,Firefox 61.0,Раскрыть список выбора Периодичности закупки,2018-08-28 13:50:11,2018-08-28 13:50:11,"0,784s",PASSED
check,Firefox 61.0,Выбрать первую попавшуются периодичность,2018-08-28 13:50:11,2018-08-28 13:50:12,"0,598s",PASSED
click,Firefox 61.0,Завершить выбор периодичности,2018-08-28 13:50:12,2018-08-28 13:50:13,"0,531s",PASSED
click,Firefox 61.0,Раскрыть словарь выбора ОКПД2,2018-08-28 13:50:13,2018-08-28 13:50:13,"0,324s",PASSED
setText,Firefox 61.0,Найти определенный ОКПД2,2018-08-28 13:50:13,2018-08-28 13:50:16,"3,197s",PASSED
check,Firefox 61.0,Выбрать найденный ОКПД2,2018-08-28 13:50:16,2018-08-28 13:50:18,"1,429s",PASSED
click,Firefox 61.0,Завершить выбор ОКПД2,2018-08-28 13:50:18,2018-08-28 13:50:18,"0,315s",PASSED
setText,Firefox 61.0,Ввести наименование закупки,2018-08-28 13:50:18,2018-08-28 13:50:18,"0,078s",PASSED
click,Firefox 61.0,Перейти на вкладку Финансов,2018-08-28 13:50:18,2018-08-28 13:50:18,"0,150s",PASSED
click,Firefox 61.0,Раскрыть список КБК,2018-08-28 13:50:18,2018-08-28 13:50:19,"0,567s",PASSED
check,Firefox 61.0,Установить чек на первом попавшемся КБК,2018-08-28 13:50:19,2018-08-28 13:50:19,"0,462s",PASSED
click,Firefox 61.0,Завершить выбор КБК,2018-08-28 13:50:19,2018-08-28 13:50:20,"0,604s",PASSED
setText,Firefox 61.0,Ввести Сумму финансирования,2018-08-28 13:50:20,2018-08-28 13:50:20,"0,131s",PASSED
click,Firefox 61.0,Перейти на вкладку Обоснования потребности закупки,2018-08-28 13:50:20,2018-08-28 13:50:20,"0,063s",PASSED
click,Firefox 61.0,Раскрыть список с наименованиями государственных программ,2018-08-28 13:50:20,2018-08-28 13:50:20,"0,549s",PASSED
check,Firefox 61.0,Выбрать первое попавшееся в списке значение,2018-08-28 13:50:20,2018-08-28 13:50:21,"0,346s",PASSED
click,Firefox 61.0,Завершить выбор наименования государственной программы,2018-08-28 13:50:21,2018-08-28 13:50:21,"0,477s",PASSED
click,Firefox 61.0,Раскрыть список с наименованиями предприятий,2018-08-28 13:50:21,2018-08-28 13:50:22,"0,475s",PASSED
check,Firefox 61.0,Установить чек напротив первого попавшегося мероприятия,2018-08-28 13:50:22,2018-08-28 13:50:22,"0,293s",PASSED
click,Firefox 61.0,Завершить выбор мероприятия,2018-08-28 13:50:22,2018-08-28 13:50:23,"0,444s",PASSED
click,Firefox 61.0,Перейти на вкладку Обоснования закупки,2018-08-28 13:50:23,2018-08-28 13:50:23,"0,026s",PASSED
setText,Firefox 61.0,"Ввести определнное значение в поле ""Обоснование соответствия объекта""",2018-08-28 13:50:23,2018-08-28 13:50:23,"0,081s",PASSED
click,Firefox 61.0,Сохранить документ,2018-08-28 13:50:23,2018-08-28 13:50:23,"0,574s",PASSED
verifyElementPresent,Firefox 61.0,"Проверить доступность кнопки ""Редактировать"" в качестве подтверждения успешной регистрации документа",2018-08-28 13:50:23,2018-08-28 13:52:26,"2m - 3,080s",FAILED
