Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create purchase plan,Firefox 61.0,\u0421\u043E\u0437\u0434\u0430\u043D\u0438\u0435 \u043F\u043B\u0430\u043D\u0430 \u0437\u0430\u043A\u0443\u043F\u043E\u043A,2018-08-28 13:48:56,2018-08-28 13:49:42,"46,143s",PASSED
,,,,,,
Test Cases/Base/Purchase plan/Create purchase plan,Firefox 61.0,Регистрация плана закупок,2018-08-28 13:48:56,2018-08-28 13:49:42,"45,583s",PASSED
callTestCase,Firefox 61.0,Авторизация исполнителем заказчика,2018-08-28 13:48:57,2018-08-28 13:49:12,"14,783s",PASSED
click,Firefox 61.0,"Перейти в Планирование
",2018-08-28 13:49:12,2018-08-28 13:49:14,"2,528s",PASSED
click,Firefox 61.0,Перейти к плану закупок,2018-08-28 13:49:14,2018-08-28 13:49:16,"2,094s",PASSED
click,Firefox 61.0,Сформировать новый план закупок,2018-08-28 13:49:16,2018-08-28 13:49:17,"0,403s",PASSED
"Statement - new_budgetYear = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.modifyObjectProperty(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(menu_planning/page_year/radio_budgetYear), ""value"", ""equals"", BudgetYear, true)",Firefox 61.0,Изменить год формирования плана закупок,2018-08-28 13:49:17,2018-08-28 13:49:17,"0,012s",PASSED
check,Firefox 61.0,Установить год формирования плана закупок,2018-08-28 13:49:17,2018-08-28 13:49:17,"0,542s",PASSED
click,Firefox 61.0,Выбрать год формирования плана закупок,2018-08-28 13:49:17,2018-08-28 13:49:18,"0,313s",PASSED
click,Firefox 61.0,Раскрыть адресную книгу выбора ответственного исполнителя,2018-08-28 13:49:18,2018-08-28 13:49:20,"2,446s",PASSED
setText,Firefox 61.0,Найти ответственного исполнителя,2018-08-28 13:49:20,2018-08-28 13:49:20,"0,142s",PASSED
click,Firefox 61.0,"Установить чек напротив найденной фамилии
",2018-08-28 13:49:20,2018-08-28 13:49:20,"0,281s",PASSED
click,Firefox 61.0,Завершить выбор ответственного исполнителя,2018-08-28 13:49:20,2018-08-28 13:49:21,"0,279s",PASSED
click,Firefox 61.0,"Раскрыть адресную книгу для выбора утверждающего
",2018-08-28 13:49:21,2018-08-28 13:49:21,"0,256s",PASSED
setText,Firefox 61.0,Ввести в поле поиска адресной книги фамилию ,2018-08-28 13:49:21,2018-08-28 13:49:21,"0,144s",PASSED
click,Firefox 61.0,Напротив найденной фамилии установить чек,2018-08-28 13:49:21,2018-08-28 13:49:21,"0,248s",PASSED
click,Firefox 61.0,Завершить выбор Утверждающего,2018-08-28 13:49:21,2018-08-28 13:49:22,"0,268s",PASSED
click,Firefox 61.0,Сохранить документ,2018-08-28 13:49:22,2018-08-28 13:49:22,"0,379s",PASSED
verifyElementPresent,Firefox 61.0,"Проверить наличие кнопки ""Редактировать"", чтобы убедиться в успешности операции",2018-08-28 13:49:22,2018-08-28 13:49:40,"17,941s",PASSED
