Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Registration,Firefox 61.0,\u0420\u0435\u0433\u0438\u0441\u0442\u0440\u0430\u0446\u0438\u044F \u043D\u043E\u0432\u043E\u0433\u043E \u043F\u043E\u043B\u044C\u0437\u043E\u0432\u0430\u0442\u0435\u043B\u044F,2018-08-28 13:25:24,2018-08-28 13:26:25,"1m - 1,773s",PASSED
,,,,,,
Test Cases/Base/Registration,Firefox 61.0,,2018-08-28 13:25:24,2018-08-28 13:26:25,"1m - 1,035s",PASSED
openBrowser,Firefox 61.0,Переход на тестовый стенд,2018-08-28 13:25:25,2018-08-28 13:25:38,"13,911s",PASSED
maximizeWindow,Firefox 61.0,Максимальный экран браузера,2018-08-28 13:25:38,2018-08-28 13:25:39,"0,179s",PASSED
click,Firefox 61.0,Переход на форму регистрации,2018-08-28 13:25:39,2018-08-28 13:25:44,"5,327s",PASSED
click,Firefox 61.0,Разворачивается список организаций,2018-08-28 13:25:44,2018-08-28 13:26:00,"15,529s",PASSED
setText,Firefox 61.0,Вводится значние в поле поиска организаций,2018-08-28 13:26:00,2018-08-28 13:26:01,"1,355s",PASSED
sendKeys,Firefox 61.0,Выбор найденной организации кликом на Enter,2018-08-28 13:26:01,2018-08-28 13:26:01,"0,132s",PASSED
Statement - If (ChangeChief),Firefox 61.0,Проверка необходимости в смене руководителя,2018-08-28 13:26:01,2018-08-28 13:26:01,"0,001s",PASSED
setText,Firefox 61.0,Ввод фамилии,2018-08-28 13:26:01,2018-08-28 13:26:01,"0,264s",PASSED
setText,Firefox 61.0,Ввод имени,2018-08-28 13:26:01,2018-08-28 13:26:02,"0,251s",PASSED
setText,Firefox 61.0,Ввод отчества,2018-08-28 13:26:02,2018-08-28 13:26:02,"0,271s",PASSED
setText,Firefox 61.0,Ввод должности,2018-08-28 13:26:02,2018-08-28 13:26:02,"0,148s",PASSED
setText,Firefox 61.0,Ввод электронной почты,2018-08-28 13:26:02,2018-08-28 13:26:02,"0,187s",PASSED
setText,Firefox 61.0,Ввод телефона,2018-08-28 13:26:02,2018-08-28 13:26:02,"0,242s",PASSED
setText,Firefox 61.0,Ввод логина,2018-08-28 13:26:02,2018-08-28 13:26:03,"0,119s",PASSED
setText,Firefox 61.0,Ввод пароля,2018-08-28 13:26:03,2018-08-28 13:26:03,"0,101s",PASSED
setText,Firefox 61.0,Ввод дублирующего пароля,2018-08-28 13:26:03,2018-08-28 13:26:03,"0,128s",PASSED
click,Firefox 61.0,Завершение регистрации нового пользователя,2018-08-28 13:26:03,2018-08-28 13:26:08,"5,443s",PASSED
verifyElementPresent,Firefox 61.0,Проверка успешной регистрации,2018-08-28 13:26:08,2018-08-28 13:26:23,"14,785s",PASSED
